entity_id,dob,main_legends,input_type,roles,algs_points_2020-21:,alternate_ids,player_years_active_range,player_years_active,player_total_winnings,player_placements_gold,player_placements_silver,player_placements_bronze,talent_years_active_range,talent_years_active,talent_events_covered,coach_years_active_range,coach_years_active,coach_total_winnings,coach_placements_gold,coach_placements_silver,coach_placements_bronze
0waRy,08-01,,mouse & keyboard,player,1985,JINSEI0waRy,2020-04-18;2022-03-20,2,2697.0,1,1,2,,,,,,,,,
1000Eyes,,,mouse & keyboard,talent,,ThousandEyes,,,,,,,2021-05-09;2022-03-11,1,11,,,,,,
1Fumeta,,,mouse & keyboard,player;coach,,,2020-08-02;2021-05-16,1,579.0,1,2,1,,,,2020-12-04;2022-02-28,2,76883.0,5,3,0
1ief,1994-12-24,wraith;wattson;pathfinder,mouse & keyboard,player,6255,,2020-01-26;2021-12-05,1,2160.0,2,0,0,,,,,,,,,
1ndraking,1999-09-28,pathfinder;wraith,mouse & keyboard,player,4385,1NDR444,2019-11-23;2022-03-14,3,2920.0,0,3,2,,,,,,,,,
1tappy,2000-10-01,wraith,mouse & keyboard,player,3125,Iseki;1TAPPYTHEWORLD,2020-05-30;2022-01-28,2,48870.0,4,5,2,,,,,,,,,
1Worst,,pathfinder,mouse & keyboard,player,3255,,2020-10-05;2022-02-28,2,91547.0,1,8,4,,,,,,,,,
247,,gibraltar,controller,player,190,Satou,2021-01-09;2021-12-26,0,2536.0,1,1,5,,,,,,,,,
3Mz,1998-11-15,gibraltar;wraith,mouse & keyboard,player,12335,GOTAHAVEYO,2019-12-12;2022-03-13,3,122585.0,17,16,4,,,,,,,,,
4SeTz,1998-12-22,valkyrie;crypto,controller,player,430,4SetZ;4Setz,2021-02-25;2022-03-14,1,2530.0,0,2,2,,,,,,,,,
5CG,11-28,,,,1605,,,,,,,,,,,,,,,,
788,1994-09-21,pathfinder,mouse & keyboard,player,10745,tamanaha;FUNWARIGORILLA,2019-12-12;2022-02-05,3,69614.0,8,14,8,,,,,,,,,
7Hyperz,1994-09-02,wraith;gibraltar,mouse & keyboard,player,2640,,2020-04-18;2022-02-28,2,2948.0,1,0,0,,,,,,,,,
7ouzz,2002-06-19,gibraltar;bloodhound,,player,1100,Touzz,2020-12-06;2022-03-14,2,0.0,3,2,0,,,,,,,,,
7ozzzus,2003-08-06,wraith,mouse & keyboard,,3470,,,,,,,,,,,,,,,,
836,,pathfinder;crypto,mouse & keyboard,player,3965,hachizaburou;tarachan115,2020-03-21;2021-06-06,1,1600.0,0,1,0,,,,,,,,,
9impulse,1999-10-31,gibraltar;caustic,mouse & keyboard,,5460,,,,,,,,,,,,,,,,
A1one,,gibraltar,mouse & keyboard,player,,Alone;Along,2019-07-07;2022-03-13,3,5451.0,2,3,1,,,,,,,,,
abara,1990-07-07,,mouse & keyboard,talent,,,,,,,,,2020-08-16;2021-10-29,1,13,,,,,,
Accentiii,2003-02-24,valkyrie;horizon,mouse & keyboard,player,,,2021-05-11;2021-12-30,0,29637.0,1,0,1,,,,,,,,,
ACEKTM7,1997-11-01,,mouse & keyboard,player,1040,ACE,2019-05-22;2022-01-28,3,8100.0,0,1,0,,,,,,,,,
aceu,1995-04-07,wraith,mouse & keyboard,player,210,Ace;acesu,2019-03-26;2020-01-27,1,155308.0,3,5,3,,,,,,,,,
Ack,2000-06-19,wraith;octane;horizon,mouse & keyboard,player,2450,,2019-11-14;2022-03-04,3,390.0,1,2,3,,,,,,,,,
Aeon,1993-05-12,,mouse & keyboard,player,,AeonWasTaken;AeonDaBeast,2019-02-23;2019-04-13,0,466.0,2,1,5,,,,,,,,,
Aesir,,,mouse & keyboard,player,660,きなこげんじ;Jikyu1750yen,2020-10-20;2021-12-05,1,867.0,0,0,1,,,,,,,,,
Aggrasive,1999-09-23,,mouse & keyboard,,,,,,,,,,,,,,,,,,
ahn2e,1996-03-04,wraith,mouse & keyboard,player,10775,,2020-01-26;2022-01-23,2,12640.0,2,1,4,,,,,,,,,
AhnuG,1999-05-08,crypto;bloodhound,mouse & keyboard,,6600,,,,,,,,,,,,,,,,
aidanthedestroye,,,mouse & keyboard,player,,,2021-08-15;2022-03-16,1,6060.0,0,1,2,,,,,,,,,
Aimbot,2003-02-20,wraith,mouse & keyboard,player,,,2021-04-12;2022-01-23,1,9275.31,1,2,0,,,,,,,,,
aimbotmachin3,,gibraltar,mouse & keyboard,player,8400,,2019-03-13;2022-01-15,3,41022.0,2,5,5,,,,,,,,,
AirSaaan,1997-05-04,wattson;crypto,mouse & keyboard,player,5675,,2019-04-02;2021-05-01,2,18322.0,3,8,3,,,,,,,,,
aizer,,wraith;wattson,mouse & keyboard,,2290,aizerwi,,,,,,,,,,,,,,,
Ak1to,1998-12-18,wraith,mouse & keyboard,player,6305,,2019-08-30;2022-02-17,3,5831.0,8,4,2,,,,,,,,,
Aka,1999-04-02,pathfinder;bloodhound,mouse & keyboard,player,,,2019-07-16;2021-05-28,2,15473.0,1,0,1,,,,,,,,,
akeu,2003-04-23,lifeline;wraith,mouse & keyboard,player,,,2019-05-17;2019-08-03,0,0.0,2,1,0,,,,,,,,,
Akim4XD,1996-11-30,,mouse & keyboard,,1370,Akim,,,,,,,,,,,,,,,
Aladdin,08-02,,mouse & keyboard,player,,,2019-05-18;2019-12-15,0,0.0,0,2,1,,,,,,,,,
Albralelie,2000-09-13,valkyrie;octane,mouse & keyboard,player,12210,,2019-03-02;2022-03-22,3,399030.0,34,15,17,,,,,,,,,
Aldgia,,,mouse & keyboard,player;coach,,,2019-08-22;2020-06-09,1,500.0,1,0,0,,,,2019-08-22;2020-06-09,1,500.0,0,0,0
