entity_name,real_name,nationality,team,player_status,social_links
0waRy,,Japan,TSURUGI eSports,Active,None;https://twitter.com/OddKEI;None;None;None
1000Eyes,Tessa Steis,United States,,Active,https://www.twitch.tv/thousand_eyes;https://twitter.com/1000EyesCasts;None;http://www.youtube.com/channel/UCzk_4ehD0XKb_Tz2jZy88Nw;None
1Fumeta,Gabriel Reinhardt,Brazil,,Active,https://www.twitch.tv/1fumeta;https://twitter.com/1_fumeta;None;http://www.youtube.com/channel/UCQFSafvLCeqBTj_u0rVpuUw?view_as=subscriber;None
1ief,Peter Benney,Australia,,Active,https://www.twitch.tv/1ief;https://twitter.com/1iefs;None;None;None
1ndraking,Sebastián Ezequiel Niz,Argentina,Pirate Dream Esports,Active,https://www.twitch.tv/1ndraking;https://twitter.com/1ndrakingg;None;http://www.youtube.com/channel/UCM2jRtKMyVATbavMkngj81g;None
1tappy,,Japan,V3 VEGA,Active,https://www.twitch.tv/iseki_jp;https://twitter.com/1TAPPYTHEWORLD;None;http://www.youtube.com/channel/UCR77BYqfZTZG_tusffddpnw;None
1Worst,Julio Augusto,Brazil,,Active,https://www.twitch.tv/1Worst;https://twitter.com/1Worst1;None;http://www.youtube.com/channel/UCsGT1ESpjtt4h_be9Lvh1iQ?view_as=subscriber;None
247,,Japan,,Active,https://www.twitch.tv/g8s_247;https://twitter.com/247sann;None;http://www.youtube.com/channel/UCVyYio43POp_7f-1xu2MM8A;None
3Mz,Hu Wang,China,DreamFire,Active,None;None;None;None;None
4SeTz,José Vinicius Testoni,Brazil,,Active,https://www.twitch.tv/4setz;https://twitter.com/vini_testoni;None;http://www.youtube.com/channel/UCll7fcA8YEavCUrhudkr8yw;None
5CG,,Japan,IGZIST,Active,https://www.twitch.tv/5cgggg;https://twitter.com/mk_5CG;None;http://www.youtube.com/channel/UCdAiRHpYNx9NY59354F6qJA;None
788,Masaki Tamanaha,Japan,RIG North,Active,None;https://twitter.com/naha99s;None;http://www.youtube.com//channel/UC93PrnqCV8UHb7Si3vHwztQ;None
7Hyperz,Kevin,Colombia,,Active,https://www.twitch.tv/7hyperz;https://twitter.com/7Hyperz;http://facebook.com/7Hyperz;http://www.youtube.com/channel/UC2TBKnieNPiLY9PofQO9lIA;None
7ouzz,Guillermo Matías Ignacio Villar Pinto,Chile,Dood Esports,Active,https://www.twitch.tv/7ouzz_;https://twitter.com/7ouzz_;None;http://www.youtube.com/Touzz;None
7ozzzus,Vladimir Vorotilov,Russia,Name1ess,Active,https://www.twitch.tv/7ozzzus;https://twitter.com/7ozzzus;None;None;None
836,,Japan,,Retired,None;https://twitter.com/hachizaburou;None;None;None
9impulse,Kirill Kostiv,Belarus,ZETA DIVISION,Active,https://www.twitch.tv/9impulse;https://twitter.com/9Impu1se;None;http://www.youtube.com/channel/UCM53B7Vv9zQF5fBxOprb-KQ;None
A1one,Wenlong Xu,China,,Active,None;None;None;None;None
abara,Kota Suzuki,Japan,,Active,https://www.twitch.tv/abaranche;https://twitter.com/abaranche;None;None;None
Accentiii,Niclas Riedel,Germany,,Active,https://www.twitch.tv/accentiii;https://twitter.com/accented_yxN;None;http://www.youtube.com/channel/UC42Bc5E6zMPAZr7HW3MKdyg;None
ACEKTM7,Austin Evans,United States,,Active,https://www.twitch.tv/acektm7;https://twitter.com/ACEKTM7;None;http://www.youtube.com/channel/UC1McldHiXTz6eyoLAE_ek_w?view_as=subscriber;None
aceu,Brandon Winn,United States,NRG,Retired,https://www.twitch.tv/aceu;https://twitter.com/aceu;None;http://www.youtube.com/user/ByHyped;None
Ack,Stephen Osiki,United States,BLVKHVND,Active,https://www.twitch.tv/ackbtw;https://twitter.com/AckBTW;None;None;None
Aeon,Ramzi Geysen,Belgium,,Retired,https://www.twitch.tv/AeonWasTaken;https://twitter.com/AeonWasTaken;None;http://www.youtube.com/channel/UCIOxgiBh7Vjp6oRzVQklN9Q;Http://play.eslgaming.com/player/7091168
Aesir,,Japan,,Retired,None;https://twitter.com/Aesir_JP;None;http://www.youtube.com/channel/UCaXHNtQ_Fcl5oRYz6GFCsww;None
Aggrasive,Swapnil Chowdhury,Bangladesh,,Active,https://www.twitch.tv/aggrasive;https://twitter.com/Aggrasive2;http://facebook.com/Swayana.Simhury;http://www.youtube.com/channel/UCDyFHlsQtkPZBXPTDASm7Ug;None
ahn2e,Kim Gun-ho,South Korea,FAV gaming,Active,https://www.twitch.tv/ahn2e;https://twitter.com/ahn2e_;None;http://www.youtube.com/channel/UC4RkCw_P0lPsYDvmjUq0hXw;None
AhnuG,,Japan,LEDIAN MAGICAL,Active,None;https://twitter.com/AhnuG0508;None;http://www.youtube.com/channel/UCJvr_E8kl4E_a_qEv37s2TQ;None
aidanthedestroye,Aidan Macmillan,Canada,Oxygen Esports,Active,https://www.twitch.tv/aidanthedestroye;https://twitter.com/aidanthedestroy;None;http://www.youtube.com/channel/UCLCUw10sXCc4KUMH98311_w?view_as=subscriber;None
Aimbot,,South Korea,FAV gaming,Active,https://www.twitch.tv/favaimbot;https://twitter.com/aimbot6974;None;http://www.youtube.com/channel/UCme5RHD4uMd8x3YOkd3FHQw;None
aimbotmachin3,Khrys Torres,Argentina,TENGAA,Active,https://www.twitch.tv/khrystorres;https://twitter.com/khrystorres;None;http://www.youtube.com/channel/UCNz6VayAmveJGrs6qtEpCEA/;None
AirSaaan,Ben Ruffels,Australia,,Retired,https://www.twitch.tv/airsaaan;https://twitter.com/Airsaaaan;None;http://www.youtube.com/channel/UCfR3BRn0QM69gcH6MOijaPA;None
aizer,Eduardo Ribeiro,Brazil,,Retired,https://www.twitch.tv/aizerwi;https://twitter.com/aizerfps;None;None;None
Ak1to,Shota Iizuka,Japan,DeToNator,Retired,https://www.twitch.tv/dtn_ak1to;https://twitter.com/Ak1to_JP;None;http://www.youtube.com/channel/UCOwZcv3nIVGdM1rAr3M1NvQ?view_as=subscriber;None
Aka,Kim Su-hwan,South Korea,,Retired,https://www.twitch.tv/akagosu;https://twitter.com/Akagosu22;None;http://www.youtube.com/channel/UCa8YDQLsMVBbvRgq-cEjEzg;None
akeu,Daniel Vesely,Czech Republic,,Retired,https://www.twitch.tv/akeu7;https://twitter.com/akeuxd;None;None;Http://play.eslgaming.com/player/13829300
Akim4XD,Muhammad Amirul Hakim,Malaysia,,Active,https://www.twitch.tv/akim4xd;https://twitter.com/Akim4XD;None;None;None
Aladdin,Grant LaBelle,United States,,Retired,https://www.twitch.tv/aladdin;https://twitter.com/AladdinLTD;None;None;Http://play.eslgaming.com/player/11818398
Albralelie,Mac Kenzie Beckwith,United States,TSM,Active,https://www.twitch.tv/Albralelie;https://twitter.com/TSM_Albralelie;None;http://www.youtube.com/channel/UC4pkrqOT0hAhS0yQkJ-jKfQ;None
Aldgia,Jessie Barger,United States,,Retired,https://www.twitch.tv/aldgia;https://twitter.com/AldgiaCoach;None;None;None
AlejandroSuntay,Alejandro Suntay,United States,,Retired,https://www.twitch.tv/AlejandroSuntay;https://twitter.com/AlejandroSuntay;None;http://www.youtube.com/c/AlejandroSuntay;None
Alelu,,Japan,DeToNator,Retired,https://www.twitch.tv/alelu;https://twitter.com/apexalelu;None;http://www.youtube.com/channel/UCmzRNMuC3LAGRq2TtDySycg/featured;None
AlexDoubleU,Alex Wilson,United Kingdom,,Retired,https://www.twitch.tv/alexdoubleu;https://twitter.com/AlexDoubleU;None;None;Http://play.eslgaming.com/player/13340928
Alhdar,Marion Pereda,Chile,,Active,None;None;None;None;None
alkaliion,,Japan,,Retired,None;https://twitter.com/alkaliion_game;None;None;None
Almaynx,Poovanon Thuvanalin,Thailand,,Retired,https://www.twitch.tv/almalynx;None;http://facebook.com/almalynxfp;http://www.youtube.com/c/snowchannal/featured;None
AlpaN,Sigeru Maki,Japan,Pro Gaming team Selector,Active,https://www.twitch.tv/alpan_games;https://twitter.com/alpan_jp;None;http://www.youtube.com/channel/UCNRBwLHJTfhgNXbfy8UhnpA;None
AlphaDraft,David Ciura,Poland,Rascals,Active,https://www.twitch.tv/alphadraft_;https://twitter.com/alphawrld666;None;None;None
Altruli,Alix Trublet de Nermont,South Africa,,Active,https://www.twitch.tv/Altruli;https://twitter.com/Altruli777;None;None;None
Amaazz,Nicolas Sageot,France,Totem Esports,Active,https://www.twitch.tv/amaazz;https://twitter.com/Amaazz_;None;None;Http://play.eslgaming.com/player/13339975
Anbu,Nathan Truong,United States,BearClaw Gaming,Active,https://www.twitch.tv/Nate;https://twitter.com/AnbuBoy_;None;http://www.youtube.com/channel/UCssvPUd9BRXcyjgCMxlYcTA;None
AndreStrong,Andrea Russo,Italy,,Active,https://www.twitch.tv/andrestrongtv;https://twitter.com/andrestrong_tv;None;None;None
Android Dream,Noah Martinez,United States,,Retired,https://www.twitch.tv/androiddream;https://twitter.com/TheAndroidDream;None;None;None
AndyJax,Alaa Elmeleh,Italy,Outplayed,Active,https://www.twitch.tv/andyjax_off;https://twitter.com/AndyJax3;None;None;None
Anemone,Terasaki Nagi,Japan,Donuts Unsold Stuff Gaming,Active,https://www.twitch.tv/anemone_fps;https://twitter.com/Anernone_;None;http://www.youtube.com/channel/UCxl70l-7TSjelWvdkAu3WcA;None
Anorak,Ufuk Kenan Taflan,Turkey,,Active,https://www.twitch.tv/anorakfps;None;None;None;None
Anrchxy,Toby Wells,United Kingdom,Lazarus,Retired,https://www.twitch.tv/anrchxy;https://twitter.com/anrchxy;None;None;None
Ansvar,Emil Nachtweij,Sweden,,Active,https://www.twitch.tv/AAnsvar;https://twitter.com/AAnsvar;None;None;None
Antzii,Anthony Walker,United States,,Active,https://www.twitch.tv/antzii_;https://twitter.com/antzii_;None;None;None
Anyxii,Osama,Saudi Arabia,,Active,https://www.twitch.tv/anyxii;https://twitter.com/iAnyxii;None;http://www.youtube.com/c/Anyxii;None
Aono,,China,MDY,Active,None;None;None;None;None
apexSQL,Patimakron Mechai,Thailand,Made in Thailand,Retired,https://www.twitch.tv/apexSQL;https://twitter.com/apexsql_;http://facebook.com/genoapexsql;None;Http://play.eslgaming.com/player/13347781
Appraiser,Thanakorn Ruckapunmaetree,Thailand,,Active,https://www.twitch.tv/appraiserz;None;http://facebook.com/fightyer;None;None
apriaN,Helmy Dwi Apriandie,Indonesia,,Retired,https://www.twitch.tv/aprianaughty;https://twitter.com/apriaN_APEX;http://facebook.com/apriangod;None;None
Apryze,Anthony Andrade,United States,Complexity Gaming,Active,https://www.twitch.tv/apryze;https://twitter.com/Apryze_;None;http://www.youtube.com/channel/UCrNoioUUETYNdVfzOKmpSeA;None
Archerzgold,Henrique Muniz,Brazil,,Active,https://www.twitch.tv/archerzgoold;https://twitter.com/archerzgold;None;None;None
ArMzAdOg,Manasak  Pholprasarn,Thailand,,Retired,https://www.twitch.tv/armzadog;None;None;None;None
artiNN1,Lucas Nascimento Cafure,Brazil,Team Singularity,Active,https://www.twitch.tv/artinn1;https://twitter.com/artinn1fps;None;None;None
